comment,label
bou shefa,negatif
votre slim n est pas chiboub hhhhhhhhhhhhhhhhhh,positif
نور شيبه ديما متالق ديما يصنع الجو و ربوخ وهره و قد و صوت,positif
saloum chkoun tayech o5t sehli ml blkoun,neutre
nfidlek 3lik tafsakh 7ag zawaj,neutre
slim ria7i i7eb i5ayer el3akliya,neutre
abababababamalla slim,positif
أمين كل يوم اتزيد في البهاما قداشك ابهيم بالقوي برجولية,negatif
hhh 7am9a,negatif
بلهي لفلوس ليرميطوهوم برسمي,neutre
J3ifer 3,positif
tfoooooooooh 3la hal 5li9a,negatif
9wiya minnek slouma,positif
les 23 nécessaires gardient d5hili ben ayoub def arriéré droit fahed cha9ra agrebia arriéré gauche akremi ali ma3loul fel axe souissi iffa yacoubi mohamed sale7 derbalifel milieu lamouchia ou hosni abdrabou hammami wissem yahia ziedi be chikh nafti haded 3al limin mouihbi djabou al lissar dthewedi mechrgui fel att maher amer ahemedd 3id abdmelekou ou ziya ou kalitouka,negatif
bitawfi9 lik ya slouma ya m3édhibhom,positif
law tozen ro7ek bedhab tab9i metal9a ou el metal9a matkon kan allor fi9 ou arja3 el3a9lek 3asba,negatif
fuck zantour,negatif
a l a ya m3alem,positif
3alaMeya Mariem y,positif
rabbi m3ek slouma,positif
allah yer7ammo,positif
mnel 7aja 3la wahda tafit edhawa,neutre
illi yhimni ca w bessssss siyassiyan ma yo9na3nich,neutre
5ater eli7eb jam3itou 3omrou ma naber a3liha bel 3akes 7awel fdha 7at belkelma bahya,negatif
walah kelmek si7i7 si slim,positif
ech ymoutou 3al krresi,negatif
hhhhhhhhhhhhhhh ya m3allém ya m39adhém,positif
enchala rabi m3ana ou el boutoula fi bab ejdid,positif
khair hadi 5alwa 9andek 3al 7ajja,neutre
bravo slim en avant,positif
yarhimm foemkk wyarhimm omek zeda wchoiya fihom,positif
لعنة الله عليكم وتزيدو تشهرو بيه هالمسلسل الخشين والله ما يمثلو فيه كان أولاد الحرام انشاء الله ربي يهلكم في هالشهر الفضيل وزيد على هذا ما يتفرج في هالمسلسل متاعكم كان المسخ إلي كيفكم,negatif
3asla,negatif
hahah litouj3ou termtou y9oulou ena min tastour mala chlayek,negatif
yalitha rjel tounes elkolha kifek,positif
alah yarhmak fel jana inchaa alah,positif
hhhhhhh hhh,neutre
m3alem ya 5ouya sloum,positif
7alatkom mota3ba assal,negatif
hhhhh 3an jadara matihchmouch 3la rwahkom yah we ihibou ital3ou mla3biya kbar we twli boutoula mizyena hhhhhh,positif
b3aththom il mosaïque w hiwar tn Hatta had ma3mal réaction Rabi yechfih nch allah,positif
farhan byh lmaryoul zeda,positif
شفلحل😅,neutre
rabi ynajahoim ya boss,positif
7ayt 3leha smela yaltif lotf,negatif
njm jadid,positif
slim riahi repect,negatif
ya3teb 3asba ken tji fannen malla rahet mou3a9 hh,negatif
i9ose rasek,negatif
louled haw sma3tt ili korpiss wala entraineur ta3 il jam3iàà bilah 9oulouli est ce que s7ii7 ou nn,neutre
viva ca ma bella,positif
wahdek fil barnous wallah bravo w 1000 mabrouk ya rzouga,positif
عطوني فكرة عن النكته دي,neutre
ten alg bravo,positif
samiiiiiiiiii hmdulllah ala slemtèèèkkkk,positif
hh 5odna konser f tounes 3afakom,neutre
j attende un repense du tuer de brahmi et belid,neutre
twa walitou ta7kiw chbih na7a il kouki twa ta2akadt ili public mte3na andou sbab fili sayer fina wa9teli 5sirna derby la3bed il kol tsib fil kouki w 3amlou pression 3ala sr bech yna7ih wa9teli a7na 5sirna 1 seul match m3a il kouki w ken 3ana style de jeu wadha7 ye5i mché na7a staff technique w medical w fawwarha il kol wintouma fir7anin wifhmou haja a7na 3malna 4 préparation mte3 champ mte3 3amnewil w mba3d ki bdet saison w mba3d wa9t il can w mba3d derby ya3ni bech t2acher 3lina haka wela haka ena nchouf il 7all njibou directeur sportif prof la t9ouli la wild jam3iya la chay insen m3ibi koura kima ali boumnijel wela hatem trabelsi houwa ili yjib entraineur w ya3ml des recrutements,negatif
من 3 سنوات وهسه شفت الفيد الصراحة اني لا افهم الفرنسية او التونسية ع مااعتقد لكن تحياتي لجميع الشعوب العربية 🙂️,neutre
7atta sa7afa t3abbet ken b9éllét ettarbiya allah lé ywarrihom nhar 7orriya nchallah kolha klééééééb,negatif
taswira hedhi zeyda slouma,negatif
mabrouk 3lina clubistia elkol,positif
bou zinq loban,positif
tfol 3lik ya rkhyssa ta 3zouza mat7chmich,negatif
kol men ymess slouma wala ca bissouuuuue rahou aeich fy les zigouuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,neutre
dima ca,negatif
et m6,positif
lé y5allina lihom tv7,negatif
la7zeeb lkol,neutre
atamana chifae ljamiii33,positif
enchala 3idik mabrouk w sinin deyma,positif
entom titmanou lina a7na 3iid moubarik a7na cha3b lmanyik lf9iir lmit5alim eli mahouch korza kifkom y3anbou t7iinkom,negatif
bravo et bonne continuation elmohem tekhdem tounes w tsalla7 7atta 10 20 wella 30 men el7ala elmozriya elli woslatelha tounes de tout mon cœur bonne chance slim riyahi,positif
mchin fi el 3afes rabbi ytwala kol dalem,negatif
oiktach na3mlo reseau fi fedaration oi sahafa oi hata fifa hathokom ynajhona ila mat likfof 3lch bin intidab oi intidab chhar,negatif
hhhh yyyy w maw9fou y9azez tijeh limra nwlh pedophile,negatif
hloua beehi ama enti khir we akhaf houa thesou tkhil chwaya,positif
ili yit3ada kayen fil 4arb ?,neutre
on a pas douté ya slouma madem 9rineha fil page mte3ek enchallah kima 9rina 3ammar jmal fi ca na9raw zouheir dhaouadi alexis fi ca,negatif
shof al7aditha elli 9raha almoslimoun,neutre
si slim bellehi s7i7 lefri9i twaslet l2ettife9 m3a chareket fly emirates,neutre
ye5i heda klip wala borjoleya ma3adech tghani emla 3ala khater ken mezelt bech tghani bech yentahro barcha abed,negatif
rabi yousteeeer,positif
نفولك راك تافهة ومنعرفوكش واحمد الا ندلسي شكونك انت باش تعطي رايك فيه كانك على حكايات تونسبة نفخ وشرب ماه هو هكا مسلسل تحكي عليه,negatif
miskina barcha barcha,negatif
الميترو الساعة 8 صباحا كيفاش يكون زحمة  ,neutre
chkoun kifi 9ra kenza chicha,neutre
Flob flob ملا رهط العيب موش فيه في الاعلام الماجور اللي عمل لناس هذ قيمة التافه ولا عندو قيمة فالبلاد,negatif
mais toi aussi t a voulu achetter le match du kef amma zayed tab9a slim elgadhaffi essare9 hadhaka aslek ya massa5,negatif
ach te7chou fih,negatif
il organiser un meeting a gafsa gbeli gabes tataouine mednine,neutre
enti mat7ebech lemdhara leli 5edmou fel mousalsel ama dharit barcha sami l fehri w elhiwar tounsi 5ater el5edma lkol belmatriel mta3ou enti t7ayelt 3la elhiwar w lazmek tet7aseb,negatif
m3a wa9tech yebda,neutre
m3alem ou rajel ou cha3eb ca m3ak,positif
93adtou ken tal3bou bel klem w bezaweli enti mak siyessi w rajil a3mel fini itanmiya mte3ik yeziw 7ram 3likom,negatif
lfa9ri fa9ri hhhhhhh,negatif
machallah hadou houma lwlad rbi yhfdou mskin wykhlilou seghrou wchbabou mrdi lwaldin machallah machallah,positif
blida fazet el pub fi west el vid,negatif
enti tounesi riahi makech de5il ama howa 5erij jemi3et erachawa we le fesed,negatif
bonne annif boss,positif
bon chance ne7tarem t3abk mais sara7a ma3jebnich,negatif
félicitations mr marzouki,positif
slim ilbis boustou kibrou,negatif
مصطفي💕,neutre
jenjoon 4lfa ratchopper artists ki yetlamou may5arjou kan 7aja bnina much love and support guys,positif
ma5yebha l music hata kan je ismha music 5itttttt,negatif
cha3eb yourid boufelje men jedid,negatif
idhghat 3ala zer ya5tafi echa3b,neutre
meziena el 8oneya,positif
a7na sa3at n3ichouh nhar elil w taw tadhrab lighneya kil 3ada hhhh,positif
slim tawwa fi lwataniya 1,neutre
benaaaa ta3 hob,positif
raja3 libya hhhhh,neutre
odhroob andek,positif
soutou tayara bon courage,positif
allah yar7mou ouisaber ahlou,positif
borjolya mwaher bledna ne9sa barcha meno kaleb wala behi mwaher,positif
Chnoa matloub mn tounsy ena marra kalmtouni w7kito m3aya bch netlha bmenta9ty,positif
alfathal tarak makan l5arbi bin chrifia,positif
hhhhhhhhhhh wa7ed sare9 t9olou wafa9aka allah ya med ya walah 7wel,negatif
trouchik barcha jouaret kayenhom yalaebou akaka fi houma mouch fil la grande ca ni demi ni attaque j espere que si kouki yfik kbal ma ywelli mostahil noslou lil play off,negatif
om kalthoum ray enta7ret twa,negatif
bravoo jaa3fouur 7louwa barcha l7al9a surtt 7keyt nedr mt3lmath hh,positif
kolna m3akom ye osoude tounis kolna twensa,positif
belehi chnowa lahkeya fahmouni,positif
rejoidre ce groupe,neutre
Feryell graja tfih,negatif
kol 3am winti alf 5ir wrabi woustrek,positif
vraiment top top top kafon,positif
akkid m3almaa,positif
hasbiya allh wa na3ma lwakil,negatif
يعني نحنا جتنا جلدية,neutre
vraiment bravo awel syasi y3jbni mo5ah w afkarah,positif
najoua benmansour m3lma wlh,positif
rak boos khali ykolo ach ihem,positif
allah yarhamhom ou rabi yechfihom be9iya,positif
nechri ticket nmedha lechkoun 3la khater nekhdem,neutre
allah maak ya cpr,positif
7asbya alah fik w fil beji w fkol sara9 wani3ma el wakil y a sourra9,negatif
rabi yenssrak rabi emaak viv viv viv caaaaaaaaaaa,positif
hmd ye rabi 3ede theware,positif
وقتاش هتمطر في تونس هذا الأسبوع  ,neutre
ch 9al,neutre
maaset _,negatif
walah ya ilbinzarti lay yji chay w ken 5alid ben ya7ya,negatif
inchalah marbou7a a7sen ma3malet,positif
slim riahi dawarha koora loool,negatif
machllah bogosssssssssssssss bon courage et continu comme ça weld bladi,positif
winhi manel abd el9oui za3ma tlamthitha fi elpilot 3amlou haka fi 9asimha mahou 9alet fi clip elpissine 3adi anormal kan hal clip 3adi ça alla edounia essalem,negatif
حصيلوا حتي كان يحطوها في عسل تقعد ماسطة لاسطة,negatif
alla akal lakaa ma issahah,positif
netfarjou fi denya o5ra,neutre
ltawa mafhemtech 3lach tjibou fih karakouz,negatif
ser9t flow si lemhaf hahahahhahahahahha,negatif
si slim bsara7a mbenza jebneh ghalta ken jebna attaquant etranger fi blastou 5ir 5ater comme pivots 3adna baratli tbarkallah en plus lamouchia yal3eb titulaire fi dzayer wzid mazelou 6 chhor wykamel wallah ken jebna avant centre fi blaset mbenza 5ir,negatif
d mara7ba bina,positif
9weia barsha klay wnstannew fl broken 2,positif
brabi oskot traw fina kofar 9odekom chkounkom entouma bech t7asbouna lé 7low n3lech tounes 9bal kenet kefera w bara defe3 b3id 3ala sidek lmasa5 ghannouchi safe7 irhebi ma,negatif
wa9tech w win bech tet3adda,neutre
3lah maydirch ft m3a phobia issac,neutre
3andna thi9a fik,positif
3aycha 3arossia jadida fi tounes,neutre
7keyet film 9ad ra7 yfhamha 9ad yfhamha,neutre
salut chef,positif
rabi m3ak haka nebno bladina bi 3amel,positif
Ti bara raye7 ya tha3lab sa7ra ya miboun elja7im,negatif
wche ma3na foukli bayti,neutre
mafemech chkoum amsset w abhem w arak maka l ma5lou9,negatif
mallem wallah,positif
inchallah 3idk mabrouk wrabi m3ak,positif
منافق _,negatif
émission nulllll fadouna nafess el manader,negatif
tfo 3lik tahane jitjib ma93ed ellara ja nhejo we nkalohalek nekt ca wallah tta3kel fik,negatif
nshalah marbouha lyoum,positif
تونس تعبان بالشلايك كيفها سامحني شنية هذي المثلية الجنسية في الجزائر كورو بيهم و في تونس عندهم جمعية بفف ينعل بن المخير فيكم,negatif
bourjolya m3alemm we rajel bi atem ma3na el kelima we wa9ftou m3a bouh akbere dalil,positif
forsa ca,positif
ha nendebhem 3a leklem elfaregh la ya sidi jiboulna 7a9na bel9anoun wo yezzi melklem elma3soul wetsabrou fi echa3b rahi elghalia ya wildi ach 9a3ed tasna3 fiiiiiiiii9,negatif
cha3ab tahh7an,positif
Mala 7ftrich,negatif
on vie notre vie tranquille en tunisie,positif
Mokded shili ya r5is ndadek,negatif
boirjouliya yiibini nidhal saha kouya,positif
nchallah rabi yechfiih,positif
blidaaaaaa jedaaaaaaaaaaaaaaaaaaaaaaa,negatif
nwaslouha l 1m louled nes lkol tpatagi 6,positif
djibou fi nafs la3bed tetkalem,negatif
يوما سيكبر يوسف و سيفهم ان امه وضيعة حرمته من ابيه و دمرت عائلة جميلة لن يغفر لها ابدا,negatif
vandals bélléhi ta3mél mzéya sawarha b talifounék w habatha 3al fb,positif
rabi yssahel kolna m3a ca 9alb ou rou7e,positif
rabi m3ak raj3ina layamat el majd,positif
koul 3am tenta bi5ir,positif
wlh ma3lem chapeau lik,positif
شنوا عنوان الحلقة الجديدة ديال إعادة البث  ,neutre
tu bel7ram monta5ab kif myabdech fih joueret men ca nebda netfarej 3lih ka2eni netfarej fi niger,positif
halli y7eb elkol ya5ser il kol ya si slim la iljam3ia machia we hna na7ki 3la kol il fourou3 la liblad machia wehna ne7ki 3la kol il mostawayat la il joumhour radhi wehna nou9soud 3la cha3be lifri9i ya3ni fchelna fi kol chey,negatif
inta m3,neutre
sakna fi tunis 5aliyet khaira,neutre
en plus dhahra tmarhél heya,negatif
dhaouadi twa mrakez m3a l équipe national 5ater yelzem ya3ti plus fi coupe d afrique hedhi mais ena nchouf club lezem to5zer l9odem ou t7es fama rou7 ejdida snè donc man7bech 3atfa tghleb t7kim la3a9el fi oumour hedhi ken dhaoudi i7eb iji awel 7aja ya3tgher 3la kol chay 3amlou fi 7a9 joumhour,negatif
zayn w3ayn,positif
ena sada9t w entouma wa9tech,negatif
president b denya wallhh,positif
bellahi ma tensawech ettawkit el ideri rahou min tasmime ennidham el ghaber bech ettounsi ma eychoufech ennour we ye5dem min ellil li ellil kif el emra kif errajel rahi elmra te3ba barcha barcha 5assaten elli lehya beddar wel choghel fel idara rahi el emra el hakikya etounsya te3ba chare3 we dar we esghar rana enbetou lel 10 heure emte3 ellil wehna fel cuisine wel ménage welli ma ethibbech rahi 3endha el 5oddem wella mahich lehyaa ebdarha wella emmase5a wella ma etrawahech etheb ken echere3 choufoulna hal ebrabi,positif
ياخي بغل,negatif
bravo wekhrawlou fih,positif
fehri1 rabbi ya7fthek lmartek wesgayyratek wallah d3it lrabbi baaarcha bech y5allas wa7lek 5atrek rajjel w3andek principe fi bled kothrou fiha ken el monef9in a7na lkolna el 7iwar tunsi,positif
les 5 presidents de sections foot hand basket volley et natation lazemhom wled section w kol president m3ah directeur technique → kol president lazem ykun wled section w 3andu directeur technique,neutre
tbarkala 3lik wnchala rabi m3ak,positif
sanfara alger tunes,positif
est dima m3alme,positif
ali merci nchalah,positif
yekhi fech yaamlou ka djej w el aalelech fassrouli brabi,neutre
hay them,neutre
ربي يرحموا خويا و جميع المؤمنين😢,positif
mabrouk rabi yhanikoum,positif
ameni fi choufi hal,positif
من ناحية ماسطة ماسطة مستوى منحط هكا علاش عمرنا منقدموا,negatif
اولاد القحبة,negatif
mahouch dhaher ziyed mekki 7atta tarf,negatif
wa7ed metsawar b ferrari fi swiswa ou lo5or metsawar fil 8aba m3a edjej ou kabch,negatif
haw hbel hedha labes nidhal hhhhhhhhhh,positif
t mch rjél ya slim w tawa a3tina éjam3iya mta3na akahaw,negatif
si slim brabbi ija l ain drahem,neutre
oueslati na7ki 3a robe ya si zebi 3ejbek wajhek nti jayebha l zboubna ale5andro,negatif
homa mhabtinha fe el page mta3hom,neutre
tfarej w ohkem,negatif
inti hiz 3aliya tlf ok,neutre
istankrou ala guid matikdrou vous ne changez rien dhaat alkods wasselem,negatif
bient dit bravo,positif
brabi mezeltou tsad9ou fil 7keyet hedhi,positif
a5yak ya semi e5er nés ne5thou b rayhom houma el hiwar ettounsi w sami l fehri sada9ni ken twali enty m3a 9ays said wlh lkol tenta5bou nabil makrouna,negatif
hhhhh flous oredoo lmasrouga mecha3ab 7aj bihaa,negatif
akbar façid ya7ki 3alfassed,negatif
rbi ikhlihik oihfdo yrab profite car ça passe trop vite,positif
slim ye riahi slim ye riahi,neutre
لي بكي ينزل جام 😢,neutre
nechala marbo7a si slim w nechala zina ya rab forza ca,positif
suissi choufene fih 7al rahou la 3alaka,negatif
moclcl nobat,positif
le club afriacian tabka dima loula fe leblad laken ali y7eb yanje7 m3a ca lazmou barcha kedma w dima lazmou yetfakar anha nass lekoul thedna wlazem y9ra 7ssab hathouma ca ya dawla,positif
ettajamo3 3a9liya ya zbéla chaine zbééla w amine gara zbééla w lotfi la3mééri anfé9 zbééla,negatif
athaka wen wasletna il7okoma jdida allah yar7imouha men kathret l5dem 7okoumet l5nen,negatif
machallah tres belle meriouma comme d hab,positif
bravo khidma yeser tayara,positif
traidy manel bababbababab chla7assa hhhhhhhhhhhhh tfarej taal7iss e znater aman le tsawerna a7na haka 9af9efa mdrrrrrrrrrrrrrrrrrrrr cho tounes win woslt hahahha,negatif
kont tawwa battalt alla yahdik ya si monsef,negatif
c est bien ki 3rafna 7kayet lmhiri,positif
بربي نقص من ظهورك في التلافز,negatif
sa7it 7anan,positif
Bdan w zin w 3in w fan w kawen rou7ou b rou7ou bravo k2rym w ma7lek enti w manoula,positif
fil page mte3ek haha,negatif
ija 7ay 5athra d,neutre
nchalah n9der nrej3ou lina 3andna 9awel mara,neutre
taw el3am ejay wki tal3bou barcha matchouwat tawlou tal3bou 3la elboutoula,positif
hhhhhhhhhhhh m3alem,positif
m3a wa9teh ejneza,neutre
tawa rajel sa7a7 wach kayen tawa,neutre
fg elite lazmek tkamlou lelekher bch tohkem 3lih les dérnières épisodes sont forts,positif
allah ybark nta fri rajel allah ytwl fi 3omrak nta we mimtak khouya,positif
wa9tech el enti5abet winou edostour b 9adech el l7am,neutre
rabi isaber tout sa famille,positif
ach9awlk fe titir kaly bbj,neutre
raj3oulna ben ali yar7em weeldekom,neutre
machaelah 9ray yetreba f 3ezek inshaelah,positif
belehi ki tolid a3tini jirw s8ayer,negatif
humain mouch ken lbazoula t5arej la7lib si slim 3andou bachoula zeda t5arej barcha 7lib lik wel amthelek,negatif
maryam debagh machallah hlik woulah je sais pas qui l a fait devenir son père était dans le jury je pense,positif
raj3élna yahia ya mr slim s v,neutre
mdawretha mekla,negatif
Malla chleka,negatif
hamza agrebi,neutre
ye mela mouselsel el rakisa we tabel,negatif
Wa7dek y m3alem bravo,positif
boul 3lik wa3lihom stade lelkoura mouch li chi3arat siyessiya,negatif
wallahi wjha kif elwazga meryem lmaska,negatif
brabi admin jawebni ye5i mo2tamar 3amil 9ayma f soussa wl mahdia,positif
hek 7ra9t rou7ik enti ma7rou9 b tbi3tek azma f rjoulia baraw dewiw jard 9anet kenet 3mala fikom hedha lkol,negatif
ca vs css deja jouer,positif
el 7ad ely 9ra lih 7al el football ely jaye li tounis,neutre
tafit edhaw 3liha al7keya dyal had économie,neutre
ماسط ﻻسط,negatif
ce vrai wallah yelzemna nsandouh,positif
tfadlek wela ta7ki b jadek hhh,negatif
salemm 3a darrr,neutre
لم أفهم النقطة اللي فهمها يعرفنا,neutre
ba9i tal7is lil 8areb w filastin chbiha matetdhamnouch m3aha wela bladkem nsitouha gafsa w lgasrine w l9arawen,negatif
لازم أخد 5ودوا قبل ما أروح للكافيه,neutre
rap haw zok l hip hop hahah,negatif
inti ma7lek kima inti b2afkarek bnja7ek btomou7 mta3ik 5alik dima t9adem w mat5alich klemhom ywa5er bik chtar eli ye7kou yetmanou ykounou fi blastek so proud ki mara tounsiya tjib w trabi bnaya blafkar w lmentalité hadhi,positif
bro hhhhhh zaboura,positif
fa9id alchahada mahiyach killma akaka leha 5edma yezio metanbir,negatif
baya ya baya 5sara fik ismek ama 7sibek rabi,negatif
hhhhh yizzi yèhdikk wa9teh hal klem ti ki tabda taraji til3ab inti dima fil facebokkk,negatif
kol youm nissma3ha a7sen ghneya tounsia,positif
alleh yar7houm w isabr waldihoum,positif
elboudourou maykarmou ken elboudourou,negatif
clip sawretou fel garage ye5i ma5alwekch to5rej beha el karhba,negatif
el 3ab ye5i shi 7aja,neutre
khsara awed rajaa rouhek chwaya and good luck,negatif
bellehi si slim mak tfahemtou enti w hamdi delice bech ma3ch tfokou ay joueur ml ay equipe w el ya39oubi bdet el moufawathat m3ah mn le 1 juin wena na3ref ken lihoud elli ma3andhoumch kelma,positif
kolhom behia ken kasdaoui yilzem tchouflou 7al ma3adech yanfa3,neutre
brabi tawa marks ma7abech yji wsamba 9alhem mazelt fi lens tnajmo tfahmouna l7kaya,positif
rabi ya7mihom,positif
behem 3andek sa7bi 3atig mawagahch da3wa lil 9atl islemyiin bich y93dsou dima irhebiin w met5alfin yesta3mloun fi din radouh sil3a lotf ya rabi n,negatif
w 3andi wlad sa7bi yelzmou 3amalia mta3 zar3 9alb tetkalef 120 malyoun w teta3mal kèn fi frança za3ma si slim ynajem y3awnou svp admin neb l msg yousel,neutre
brabbi si slim echrou dar l hedli rahou yestahel kalih dima yfarahna,positif
sayé ja lzaghwan w far7o bih ahali zaghwan ana jit dhif 3ind hom zada lol,neutre
si slim rabi ykhalik lina ya meallem ca,positif
fi hethi 3ejbetni meriem hhhhhhhhhh,positif
ada howa elwakah fi tunis zour el porto ou chouf,positif
slim ya7chi fih l safi b tazli9a hahaha mala wld 9a7ba firas amamy oussema boukadida,neutre
mabrouk alina enchallah,positif
inta fare5 chkoon,negatif
بالتوفيق والنجاح وصل ربي معك,positif
hhhhhh 3malt cours hak bdite tet3allem chwaya ma 5amja ken termet ommek illi hbat minha ya irhabi,negatif
raja3 montasarrrrr,neutre
bara ya slouma rana m3ak wyéchihémék fihoum,positif
inchallah bel barka si silim,positif
aha rabi y5alik ya slim weli y5dem tounes ra7o moch mziya,positif
taw hada rajil yil3in bou rjouliya tounsiya tfouhhh,negatif
sala allahou 3aleyhi w saleme,positif
raw ye7chi fih,negatif
Asex,neutre
شي اسف والله,negatif
ili jey min 3and 5anchour like,neutre
kol am anti balf khir,positif
hhhh tafrjou fih 10,negatif
3aaaaaaaaaaaaaaaaaaza wow yhabel yes yes,positif
cha3b m3aaaaak y a salamlam wra i ykoun fil3pmoun,positif
Kelb ynbeh ala tayara c klem ennes,negatif
bravo ya m3allm,positif
3idek mabrouk ente wel3eyle wrabbieykallik lin ye rab wrabbi k3ek filnti5abet,positif
kolna m3ak ya slouma,positif
مسكين والله،لازموا يمشي يسمع بسيكوم فماش ميفيق شواي على روحة,negatif
كلام معقول برشا و عقلاني,positif
hetha howa el 5itab elli n7ebou nesm3ouh 5itab fi etijeh wa7ed mafihech ezdiwajeya fel klem walla maskouwet b1 dit,positif
kolha soreg,negatif
il n a pas dit,neutre
bravo si slim haka nhebbou twansa lkol,positif
lah esmah lena manlwalidin,positif
ta7an weklamak lkol fara8,negatif
ya si lfa5fe5 rahi tounes mahich italie wal britannique,negatif
sel3et tunis 4liya wel haja il bahiya temchi le nes il labes 3leha we zaweli ya5u ezgata ou ma,negatif
sidek enti ya mnayek,negatif
طاقة صوتية و صدق مشاعر,positif
vas y et bon courage,positif
haw w nzelt entré,positif
ba3d 10 ans coup hhhh,positif
m3allem ki kamel lbarnamej hatoula gnayt enta ma3allem hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,positif
5alouna n3ichou saybouna saybooooooooooooooona,negatif
انسان فاشل و ممثل فاشل و تافه مستوى قفة و تلحيس المستقبلو الوحيد الشد الحبس وحدو و رتحنا من وجهو,negatif
si slim on veux l attaquant de tchelsi de ghana,neutre
grave graaaave graaaaaaaave,negatif
Wa7dak ya m3alem,positif
بصراحة مرا مثقفة وتعرف أش تقول تعجبني برافو مدام محرزية,positif
raja3 montaaa svp,neutre
وقتاش تنفتح معرض الكتاب هذا العام,neutre
rojla s3iba,negatif
nchlh nerb7ou liraheb hhhh hadha kin fama iraheb ti a7zeb houm ili ga3din ya3mlou fi hadha ilkol,negatif
festival el musique yibda fi juillet w yet7aml el live streaming 3la el internet,neutre
hhhhh mera5sek joumhour w jam3iya taye7telhoum roushoum fel bech tra4i sidek charf dine,negatif
Bayroum ye malem,positif
hhhh in english zeda,neutre
استاذة بكل مقاييس قراتنى فى دروا صفاقس وكانت شخصية قوية وفارضة روحها,positif
siham kalat krib mca moch sahah fi ca ya lolad chbikom 5faf mafama chay shih nistano oi ba3ad kan fama hkaya nitkalmo,negatif
vive la arbes,positif
brabi etijani bl3id matfartch fih,negatif
ait mouheb même ana makhalitkch w tu c que tu es mon cœur,positif
ahla bendir,positif
rabi m3ana nchalh w 5 fi 3in l7ossad,positif
حقيقي المقطع,neutre
héy akéka yé slouma yé m3alem,positif
télé mte3i maya9rach bel 3arbi ye5a chfama,neutre
7ayy 3la alab alahly lihi,neutre
bravo marzou9i ca rassure,positif
3omra makboula,positif
stano 12 sna ou5ra,negatif
8 inchallah,positif
a3mel ili trah sal7 bjam3ia si slim,positif
ta3ref adwarha fi tamthil ken bka w ta8rid,positif
tres bien analyse llwada3 elrahen,positif
chalah 5ir rabi yosterha mak,positif
nari 3la chibania katghol fkhatra yekh tfo kidaira hhhhhahahaha,negatif
Bravo chi5 ya m3adhebhom,positif
allah yar7ma,positif
c honteux vous avez pas le droit diroulha haka w dekhlou rohkoum f hyatha chakhsya en plus tbahedlou fiha 9odam g3 ness niveau bas louken troho thallou machakelkom mechi khir au lieu te9o3dou tekachfou f ness,negatif
hahaha j adore j adore,positif
allah yehlekom,negatif
fema recrutement lyoum wala ngylou tawa 3ena jam3iya ki temchi lomour mrigla jniw 2eme choufelna pivot africain 7ejra s7i7a w khali belkhither w anis ben htira w merieh w khw khali nchedouhom wehed wehed w n bouhom,negatif
allah yahdik wana dh il haki ou il che3it 3alih ila yilzimna n7afizou il 9anoun winas kolchi hamdoula labas il 9ana3 mafamach li il 3abed tfakir 9bal ma yamil haka 5atir ntichar,neutre
fi el page mta3ou el moudar sayèè clubiste,positif
walah wahdik ya lotfi nes lkol y7ibouk,positif
inchallah mansour,positif
7assbina allah fikom,negatif
ehchamou chwaya naykou,negatif
hedhi akheret boitet,negatif
M3LIM,positif
dhalika 3adouwwouna,negatif
oh yousterk yousterk tal9h enchllha fi waldek,positif
aymen belhadj haw sayd f lac 9alou gata3,positif
tarchh denyaa tanektt,positif
Maaàaàaasseet,negatif
brabi kifech najem n9abel si slim svp,positif
bi temou7ik wa 5ibratik wa naja7ik sa yastafid,positif
kolna ma3aka bism el7a9 laken bism tunes anta rayis elmar7la,positif
jarimit eddoustour zkbir min kul chay 3imlitou ennahdha,negatif
ti brabbi kamloulna el 11 3aléh hakka,negatif
bravo slouma wn8lh rabi y9adr l5ir wya7mina tounes l4alia,positif
fama nes allah ghaleb matefhemech klem zid fama nes le3binha clubisitia enabro,negatif
akid ya m3alam wa7dak wrabi m3ak,positif
inti zeda ye slouma ye behi,positif
seb3i imed riahi khlifi dégage dégage,negatif
m3alam w skthom ok m3alam w toz fil kol,positif
berjouleyya ton9ech ya slouma klém fel samim,positif
rana m3ak ya walid,positif
mahran basta hani ek l karhba lrenaha fil hotel nhrtha hhhhhhh,negatif
باسل,negatif
ton fait si silm la7kaya dhahra ki 3in chams wma 7a9ich kadhibt 5atir ma ystahlouch 7ata bech traja3 3lihom i5dim 3la rou7ik rabi m3ak wjoumhour l4alya lkolou m3ak et merci pour tous ce que tu fait pour nous,positif
Mamestou,negatif
ena benesba leya lezemha nahdha tet5la3 3la 5aterha da5let lebled f 7it weli sar f masr yelzmou ysir f tounes bech hakeka neqte7ou menhom fard 4arba w n3ichou labes w rahom baz tawa jme3t nahdha wjouhom sfor w 5ayfeen 3l kresi nahdha degage,negatif
hedhi kelba bhima leima 0 0,negatif
khedma el 3afwiyya 7adtha 3la 3h lil masaa,neutre
